1726720,Stashes cargo,stows
5832606,Professional colleague of 13 Across. ,Roper
4931848,"Not one, to Ozark Ike ",nary
4764435,Last words of Love Story,i cried
1397578,"Nimble, lithe",agile
2019171,"2005, for one",year
2002500,Gravy imperfection,lump
4244750,Monroe and Fairchild ,blondes
2812972,Gold fineness units,karats
1407438,"See previous, in footnotes",ibid
5442272,Munich : Jahr :: Madrid : ___,a no
3091911,Half of a Pictionary team,guesser
1388788,Casino choice,faro
4178371,Most broth is a small amount of money,sou
4792122,Great cathedral in Florence ,Duomo
5569506,"Going up north, roughly 1,000 - a lot of people",throng
355352,Any: Scot.,onie
2847871,Struggle,compete
1924127,Opening opening,Longo
3350212,Mercurian amount of mistakes,a few
6284985,Leper,Pariah
3092652,Passion for travel,dromomania
5123502,Troops on call Abbreviation ,res
5318542,Cry in a cornfield,caw
1711383,First name in comedy,arte
691256,Laurel to see programme,baywatch
1413401,All the news that's fit to print speaker,ochs
5109704,Eye appliance,lashcurler
1899129,Begin flying lightly in transit (wordplay),flit
1780705,Touch lightly ,DAB
521749,'Pal Joey' novelist John,ohara
4528664,To whom a conductor reports,trainmaster
2209692,Diamond term.,on base
5526391,Sacred image. ,eikon
585031,Racquetball accessory,wristband
3344370,Command of 92 Down.,Eto
4908112,"39.37 inches, in Edmonton",metre
1314136,"Ludicrous, laughable",risible
2470598,Halfandhalf quantities,pints
6245615,Brutus abettor,casca
6398469,Pithy life lesson coined by Horace,carpe diem
4015838,Political extremist ,radical
2104321,Diet guru,atkins
5397581,Valuable coins,silver
4590433,Cunning ,cute
Greek peak OSSA
3085274,"Property division, sometimes",fence
965119,Course in the behavioral science dept,socio
2538817,"Jada, to Jaden",mom
3770470,Wharton conferral,MBA
5420132,All hell broke loose in June after Fringe,Mayhem
3619671,All-time best-selling book,Bible
826008,"36% of Rwanda's current parliament, gender-wise",men
3791415,French impressionist painter,manet
1153782,Clerical robe,vestment
3955336,Snore symbols,zees
1328596,Elis' town ,newhaven
3676440,Certain unmarried parent,single mom
4244058,Biblical dancer in the book of Matthew,salome
1866649,Distance of a proverbial epic journey,far
1336025,... his transport,sleigh
4182822,Wave top ,crest
875016,Jabs,pokes
3889617,Krakauer's '___ the Wild',throw
2013182,Part of the Far East. ,siam
4905701,Orhan Pamuk novel featuring a blizzard,snow
4985486,Bird with a white tail,ern
5831479,Hairy coat of an animal,fur
4234680,Spring to retweet answer from old city state,Sparta
3599657,Alberta World Heritage park,dinosaur
847249,Speed of sound: nothing going for current engine,machine
1155023,"Maryland player, familiarly",terp
3981377,That is completely the wrong way!,nonono
4258652,Boy's name that's almost always first alphabetically,Aaron
4246699,Sound from a radiator,his s
2818080,Opposite of peaked,bottomed out
6197903,Imperiled,in trouble
2346937,Muchtattooed people,Maori
5737877,"After 11-Across, three serious citations in a soccer game, or after 47-Across, clever way to become a permanent resident (wordplay)",card trick
639784,Harpoon wielder,spearer
2094317,Bad start for those ones around family worn out on beach,bikini
3717034,Franklins,cnes
3998112,European fish,boces
3211720,How I need tens more to be put in,in set
3319644,Shinnies,climbs
1262358,Bring into agreement,align
2458743,I see what's going on!,oho
2382408,The ultimate in knots,hardest
4905622,"Painter of ""The Laughing Cavalier""",hals
1852093,Gags owl fluttering over large built-up area,glasgow
3238936,Hawk hooks,talons
4891836,Skateboarder's stunt,Ollie
860767,Early American. ,pioneer
3958843,Cockney's assistant,elper
1256640,Actor ___ de Luise,dom
3491216,Oscar winner Hunt,linda
5808042,- - Ford (TV),anna
973062,Tamarin ,Marmos et
1647081,Calgary Stock or India Pale,ale
771917,Sportscaster Cross et al. ,irvs
2917592,Shut-eye,rest
5898371,Siouan Sooner ,osage
Show on a screen. TELEVISE
2736858,Summer position for a college student,intern
